Job Title,Company,country,Experience Level,Salary,Industry,Required Skills,education_requirement_level
Learning disability nurse,Alvarez-Skinner,Toronto,Senior Level,142000,Retail,Sales,4
Environmental education officer,"Phillips, Hardin and Smith",Berlin,Entry Level,144000,Healthcare,"Nursing, Pharmaceuticals",2
Copy,Washington-Guzman,Sydney,Entry Level,79000,Manufacturing,Production Planning,3
Catering manager,"Watson, Rowe and Terrell",Sydney,Senior Level,132000,Software,React,1
Medical physicist,Ross-Valencia,New York,Senior Level,49000,Retail,"Sales, Merchandising",3
"Engineer, electrical",Mcgee PLC,London,Senior Level,84000,Finance,"SQL, Financial Modeling, Python, Risk Analysis",1
Systems developer,"Jensen, Jackson and Reed",Berlin,Senior Level,77000,Software,"Python, Java, Machine Learning",3
"Surveyor, commercial/residential",Kemp Ltd,Bangalore,Mid Level,90000,Manufacturing,Supply Chain,3
"Psychologist, clinical","Bennett, Lopez and Nash",Toronto,Entry Level,144000,Healthcare,Medical Research,4
Publishing copy,Spencer-Kelly,Toronto,Entry Level,68000,Finance,"Python, Financial Modeling",1
Dance movement psychotherapist,"Farrell, Torres and Jenkins",Sydney,Mid Level,68000,Marketing,"Social Media, Content Writing, SEO, Market Research",4
"Programmer, applications",Carson-Boyd,Bangalore,Senior Level,93000,Manufacturing,"Supply Chain, Quality Control, Production Planning",5
Maintenance engineer,Le-Jimenez,London,Entry Level,59000,Retail,"Merchandising, Sales, Customer Service",2
Historic buildings inspector/conservation officer,Molina-Green,Toronto,Senior Level,46000,Retail,"Sales, Customer Service, Merchandising",2
Immunologist,Burke-Kennedy,Berlin,Senior Level,89000,Manufacturing,"Quality Control, Supply Chain",1
Fitness centre manager,"Berry, Phillips and Harper",Bangalore,Entry Level,131000,Software,"C++, SQL, Java, Python",2
Clinical molecular geneticist,"Patterson, Navarro and Mendoza",London,Senior Level,50000,Education,"Curriculum Design, Teaching",4
Mudlogger,"Johnson, Brennan and Tyler",London,Senior Level,71000,Finance,"SQL, Excel",3
Heritage manager,Underwood Ltd,Sydney,Entry Level,52000,Marketing,"SEO, Google Ads, Social Media, Market Research",2
Armed forces operational officer,"Schroeder, Vega and Day",Sydney,Entry Level,119000,Marketing,"Content Writing, SEO, Market Research",4
Public relations account executive,Franco-Gill,Sydney,Mid Level,48000,Software,"SQL, AWS, Java",3
Personnel officer,Porter-Bass,New York,Senior Level,56000,Finance,"Risk Analysis, Financial Modeling, Python, SQL",1
"Copywriter, advertising",Johnson-Green,Berlin,Mid Level,94000,Software,"AWS, Python, SQL",3
Theme park manager,Kramer and Sons,New York,Senior Level,42000,Finance,Python,1
"Scientist, physiological",Reilly Ltd,Bangalore,Mid Level,119000,Healthcare,"Nursing, Medical Research",2
Water quality scientist,Hunt-Roberts,London,Entry Level,128000,Finance,Excel,1
Diagnostic radiographer,Hernandez Group,Berlin,Senior Level,88000,Software,"AWS, Python, Java, SQL",4
Paediatric nurse,"Rodriguez, Taylor and Lopez",Sydney,Entry Level,125000,Healthcare,"Patient Care, Pharmaceuticals",3
Systems analyst,"Zimmerman, Weaver and Jones",Toronto,Entry Level,89000,Software,Python,1
Politician's assistant,Diaz-King,Sydney,Senior Level,132000,Education,"EdTech, Curriculum Design, Teaching, Research",4
Publishing copy,Armstrong-Riley,San Francisco,Mid Level,141000,Finance,"Python, Risk Analysis",1
Farm manager,Trevino Group,Toronto,Senior Level,63000,Marketing,"Content Writing, Social Media",5
Gaffer,Owens PLC,Sydney,Mid Level,79000,Marketing,SEO,1
Media buyer,Daniels and Sons,San Francisco,Entry Level,104000,Finance,"Python, Financial Modeling, Risk Analysis, SQL",1
Systems analyst,Ruiz-Escobar,Bangalore,Mid Level,47000,Healthcare,"Nursing, Medical Research, Pharmaceuticals, Patient Care",3
Furniture designer,"Foley, Jackson and Wilson",London,Entry Level,99000,Finance,Financial Modeling,1
"Designer, jewellery",Davis-Kelly,New York,Entry Level,107000,Education,"Curriculum Design, EdTech, Teaching, Research",2
Paramedic,Richard PLC,Sydney,Entry Level,75000,Finance,Financial Modeling,2
"Runner, broadcasting/film/video","Butler, Ellis and Newman",San Francisco,Senior Level,99000,Software,"C++, React, SQL, Python",4
Local government officer,"Hines, Jones and Daniel",Berlin,Senior Level,143000,Education,"EdTech, Teaching, Curriculum Design, Research",3
Financial trader,Wells-Jacobs,Toronto,Senior Level,99000,Education,"Teaching, Research, EdTech",4
Hydrogeologist,Kelley Group,London,Mid Level,94000,Software,"Python, React, C++, AWS",5
Conference centre manager,Williams Ltd,Bangalore,Senior Level,126000,Software,"Java, Python, Machine Learning",1
Telecommunications researcher,Miller and Sons,London,Senior Level,49000,Manufacturing,Production Planning,1
Production manager,Crane-Rose,Bangalore,Mid Level,119000,Healthcare,"Nursing, Patient Care, Medical Research",5
Speech and language therapist,"Kirby, Bartlett and Stevens",Bangalore,Mid Level,121000,Marketing,"SEO, Content Writing",5
Passenger transport manager,Smith Group,Berlin,Entry Level,142000,Marketing,"Google Ads, SEO, Social Media",1
Toxicologist,Collier-Reed,San Francisco,Mid Level,73000,Education,Curriculum Design,2
Community pharmacist,Miller-Gonzalez,London,Entry Level,51000,Marketing,"Market Research, Google Ads, Social Media, SEO",5
Medical laboratory scientific officer,"Santiago, Weaver and Anthony",San Francisco,Senior Level,104000,Education,"Curriculum Design, EdTech",3
Ranger/warden,Simon Group,Toronto,Senior Level,76000,Marketing,"Social Media, Market Research",5
Energy manager,Chapman Group,Berlin,Senior Level,120000,Education,"Research, EdTech, Curriculum Design, Teaching",1
Local government officer,"Curtis, Rodriguez and Fischer",Bangalore,Mid Level,71000,Finance,"Excel, Financial Modeling, SQL, Python",5
Secondary school teacher,Brown-Moon,Sydney,Entry Level,122000,Retail,"Merchandising, Sales, Customer Service",2
"Engineer, manufacturing systems",Gillespie LLC,Sydney,Mid Level,122000,Marketing,"Social Media, Google Ads, Content Writing",5
Music therapist,Douglas-Little,Bangalore,Senior Level,48000,Retail,Customer Service,3
Civil Service fast streamer,White-Robertson,Sydney,Entry Level,136000,Software,"SQL, Python",3
"Research officer, government","Sanders, Lewis and Beasley",Berlin,Entry Level,61000,Finance,"Risk Analysis, Financial Modeling, Excel, SQL",2
Educational psychologist,"Terry, Duncan and Ramos",Bangalore,Senior Level,109000,Software,C++,2
Building surveyor,Wilson-Bowman,New York,Mid Level,124000,Manufacturing,"Quality Control, Supply Chain",1
"Engineer, electronics",Rangel-Richardson,Berlin,Mid Level,146000,Education,"Curriculum Design, EdTech, Research",5
Chartered legal executive (England and Wales),Perkins and Sons,Sydney,Senior Level,48000,Marketing,"Google Ads, Social Media",2
Agricultural consultant,Hubbard LLC,Bangalore,Senior Level,109000,Manufacturing,"Supply Chain, Production Planning",4
"Programme researcher, broadcasting/film/video",Thompson-Smith,London,Senior Level,123000,Retail,"Customer Service, Merchandising, Sales",3
"Accountant, chartered",Brown LLC,Berlin,Entry Level,100000,Finance,"Risk Analysis, Excel, Financial Modeling, Python",3
Barrister's clerk,Hall and Sons,San Francisco,Mid Level,147000,Software,"Python, SQL, Machine Learning, Java",5
Speech and language therapist,Whitney LLC,New York,Senior Level,126000,Retail,"Sales, Merchandising, Customer Service",4
Trading standards officer,Austin-Valdez,New York,Entry Level,53000,Retail,"Customer Service, Merchandising",2
"Scientist, marine",Davenport-Medina,San Francisco,Entry Level,95000,Retail,"Customer Service, Sales, Merchandising",4
Insurance broker,Schaefer LLC,Bangalore,Senior Level,131000,Software,"Machine Learning, Java",1
Materials engineer,"Cruz, Gross and York",London,Mid Level,147000,Software,"Java, AWS",4
Set designer,"Bennett, Kidd and Jackson",New York,Mid Level,68000,Finance,"Risk Analysis, Financial Modeling, Python, SQL",2
"Horticulturist, amenity",Thomas-Fox,New York,Mid Level,72000,Education,"Research, Curriculum Design",1
Sports administrator,Moran-Gardner,London,Entry Level,95000,Healthcare,"Medical Research, Pharmaceuticals, Patient Care, Nursing",1
"Pharmacist, hospital","Hunt, Stevens and Powell",Berlin,Entry Level,72000,Manufacturing,"Supply Chain, Quality Control",1
Drilling engineer,Ford Group,London,Senior Level,145000,Software,Machine Learning,3
"Engineer, manufacturing systems","Grant, Wood and May",Bangalore,Mid Level,101000,Manufacturing,"Production Planning, Supply Chain, Quality Control",5
"Accountant, chartered management","Tate, Bradley and Ortiz",Sydney,Entry Level,116000,Software,"Python, Machine Learning",2
"Copywriter, advertising",Garcia Group,San Francisco,Senior Level,48000,Finance,"Python, SQL, Financial Modeling, Risk Analysis",3
"Sales professional, IT",Harris Ltd,Toronto,Mid Level,146000,Finance,"SQL, Python, Financial Modeling",2
Chartered legal executive (England and Wales),"Nguyen, Stein and Sanchez",Sydney,Senior Level,87000,Manufacturing,Production Planning,4
Illustrator,"Miller, Bass and Haas",New York,Senior Level,62000,Manufacturing,Quality Control,2
"Geneticist, molecular",Fletcher-Burke,Sydney,Senior Level,106000,Healthcare,"Pharmaceuticals, Patient Care, Nursing, Medical Research",5
Secretary/administrator,Chavez-Smith,Toronto,Entry Level,67000,Finance,"Financial Modeling, Excel, SQL",1
Armed forces logistics/support/administrative officer,Ferguson-Livingston,Sydney,Senior Level,127000,Education,"Research, Teaching",5
"Librarian, academic",Jones-Boyd,New York,Entry Level,100000,Manufacturing,"Supply Chain, Quality Control, Production Planning",4
Educational psychologist,Cardenas-Gill,New York,Senior Level,74000,Manufacturing,"Quality Control, Supply Chain, Production Planning",1
"Horticulturist, amenity","Thomas, Harris and Davidson",New York,Entry Level,94000,Education,"EdTech, Research",1
Wellsite geologist,Daniel LLC,Berlin,Senior Level,54000,Retail,"Sales, Merchandising, Customer Service",3
Biomedical engineer,Silva PLC,Bangalore,Mid Level,93000,Finance,"Python, SQL",4
"Doctor, hospital",Campos-Snyder,Berlin,Mid Level,139000,Software,"Machine Learning, React, Java",4
Product manager,"Molina, Arnold and Nelson",San Francisco,Entry Level,82000,Healthcare,"Pharmaceuticals, Medical Research, Nursing",2
Fine artist,Thompson-Boyd,New York,Senior Level,118000,Finance,"Excel, Financial Modeling, Python",4
Herbalist,"Jones, Scott and Allen",New York,Senior Level,94000,Software,"Python, React",2
Quality manager,"Sanders, Hubbard and Cox",San Francisco,Mid Level,108000,Healthcare,"Nursing, Medical Research, Patient Care",3
Lobbyist,"Odonnell, Hernandez and Perry",New York,Entry Level,57000,Software,"Java, Machine Learning, SQL, C++",4
Learning disability nurse,"Miller, Walker and Anderson",San Francisco,Entry Level,59000,Marketing,Content Writing,4
Advice worker,"Ortega, Richards and Gonzales",San Francisco,Mid Level,105000,Healthcare,"Pharmaceuticals, Nursing",1
Newspaper journalist,Little-Spears,New York,Entry Level,144000,Healthcare,"Pharmaceuticals, Medical Research, Nursing, Patient Care",2
Advertising account executive,Obrien and Sons,San Francisco,Senior Level,89000,Software,"Python, C++",1
Petroleum engineer,Strong-Mayo,New York,Entry Level,51000,Education,"Research, Teaching",5
Print production planner,"Le, Frederick and Holmes",Sydney,Mid Level,101000,Software,C++,4
"Therapist, sports",Blake Inc,Sydney,Entry Level,113000,Finance,"Financial Modeling, Python, Excel, Risk Analysis",1
Television floor manager,Smith Inc,Berlin,Entry Level,84000,Retail,"Customer Service, Sales, Merchandising",2
"Conservator, museum/gallery",Ortiz-Stein,London,Senior Level,57000,Retail,"Merchandising, Customer Service",2
Clinical molecular geneticist,Peterson-Horn,Berlin,Entry Level,45000,Software,"Machine Learning, Java, AWS",4
Newspaper journalist,Barber-Mccarty,London,Entry Level,141000,Finance,"Financial Modeling, Python",4
"Secretary, company","Christensen, Patterson and Navarro",New York,Entry Level,77000,Manufacturing,Production Planning,1
"Education officer, environmental",Nguyen Group,San Francisco,Senior Level,48000,Education,"Curriculum Design, EdTech, Research, Teaching",4
Solicitor,Blake-Perez,Bangalore,Senior Level,139000,Marketing,"Market Research, SEO, Google Ads, Social Media",1
Operational researcher,Ellis-Garcia,San Francisco,Mid Level,70000,Marketing,"Content Writing, Social Media, Google Ads",5
"Engineer, water","Miller, Moses and Knapp",London,Mid Level,59000,Finance,"Financial Modeling, Excel",4
Chief Marketing Officer,Weaver-Sanders,London,Entry Level,131000,Retail,"Merchandising, Customer Service",1
"Librarian, academic",Moore Inc,London,Senior Level,94000,Manufacturing,"Production Planning, Supply Chain",4
Investment analyst,"Olsen, Garcia and Weaver",London,Entry Level,121000,Software,"SQL, AWS, C++, React",1
Chiropodist,Holder and Sons,Toronto,Entry Level,85000,Healthcare,"Patient Care, Pharmaceuticals, Medical Research, Nursing",2
Oncologist,Wheeler Group,London,Mid Level,105000,Healthcare,"Nursing, Medical Research, Patient Care, Pharmaceuticals",1
"Surveyor, building control",Ford Ltd,New York,Senior Level,86000,Manufacturing,"Production Planning, Quality Control",4
Travel agency manager,Thomas-Carter,Sydney,Senior Level,68000,Healthcare,"Patient Care, Pharmaceuticals, Medical Research",3
Pensions consultant,"Cooper, Navarro and Morgan",New York,Mid Level,136000,Marketing,"Content Writing, Google Ads",3
Soil scientist,Barrett Inc,Sydney,Senior Level,148000,Education,"EdTech, Research",4
"Engineer, petroleum","Reyes, Lawson and Lopez",New York,Mid Level,124000,Manufacturing,"Production Planning, Supply Chain, Quality Control",1
Technical brewer,Ruiz-Nash,Bangalore,Entry Level,113000,Finance,Excel,2
Farm manager,James-Ramirez,London,Mid Level,101000,Healthcare,Patient Care,5
Merchant navy officer,Sweeney LLC,Bangalore,Senior Level,78000,Software,"C++, AWS, SQL",3
"Surveyor, minerals",Hawkins PLC,Bangalore,Entry Level,113000,Marketing,"Google Ads, Social Media, Market Research, SEO",2
Rural practice surveyor,Reyes and Sons,Sydney,Senior Level,127000,Education,"EdTech, Curriculum Design, Teaching",2
Magazine journalist,Russell-Watson,San Francisco,Mid Level,125000,Manufacturing,"Supply Chain, Quality Control, Production Planning",3
Estate manager/land agent,Hudson Ltd,London,Entry Level,111000,Finance,"Python, Excel, Risk Analysis",2
Health visitor,Griffith-Browning,Berlin,Senior Level,102000,Education,Research,5
Ophthalmologist,"Owens, Knight and White",Berlin,Entry Level,51000,Healthcare,Pharmaceuticals,1
"Horticulturist, commercial",Morrison-Shaw,New York,Entry Level,139000,Software,"AWS, Python, Java",2
"Geneticist, molecular",Morris Inc,Bangalore,Senior Level,85000,Finance,"Risk Analysis, SQL, Excel, Python",5
"Doctor, general practice",Hall Inc,Toronto,Senior Level,75000,Finance,"Financial Modeling, Risk Analysis, SQL, Excel",4
Arts administrator,"Roberts, Powell and Hull",San Francisco,Mid Level,81000,Finance,SQL,1
Agricultural engineer,"Strong, Fletcher and Gillespie",Toronto,Senior Level,138000,Manufacturing,Supply Chain,4
"Teacher, English as a foreign language","Murillo, Jimenez and Hamilton",Sydney,Mid Level,58000,Finance,"Risk Analysis, Excel",3
Commercial horticulturist,Holland and Sons,Sydney,Entry Level,96000,Education,"Research, Teaching",3
Diagnostic radiographer,Jones-Bentley,Bangalore,Entry Level,80000,Healthcare,"Nursing, Medical Research, Pharmaceuticals, Patient Care",4
"Engineer, technical sales",Kelly-Chan,San Francisco,Senior Level,86000,Education,"EdTech, Research, Teaching",2
"Therapist, occupational","Woodard, Weiss and Orozco",New York,Mid Level,57000,Manufacturing,"Supply Chain, Quality Control, Production Planning",5
Insurance risk surveyor,Larson Inc,London,Senior Level,55000,Healthcare,"Patient Care, Medical Research, Pharmaceuticals, Nursing",3
Structural engineer,"Mcdonald, Zimmerman and Allen",San Francisco,Mid Level,92000,Education,"EdTech, Teaching",2
Charity officer,Lopez-Curtis,Toronto,Entry Level,64000,Software,"Java, React",4
"Lighting technician, broadcasting/film/video",Costa-Juarez,Berlin,Entry Level,147000,Marketing,Market Research,4
Herpetologist,Todd Group,Toronto,Entry Level,123000,Retail,"Sales, Customer Service, Merchandising",1
"Administrator, arts","Garcia, Gibson and Gibson",Sydney,Senior Level,77000,Software,"Python, SQL",5
Systems developer,Hensley-Dawson,Bangalore,Senior Level,68000,Healthcare,"Nursing, Pharmaceuticals, Medical Research, Patient Care",3
Customer service manager,Bennett Ltd,Bangalore,Mid Level,117000,Retail,"Merchandising, Sales",4
"Scientist, research (physical sciences)",Riddle-Gray,New York,Entry Level,93000,Retail,"Sales, Customer Service, Merchandising",3
Hotel manager,"May, Sosa and Jones",Toronto,Entry Level,87000,Marketing,"SEO, Content Writing, Google Ads",5
Exhibition designer,"Scott, Johnson and Baxter",London,Mid Level,43000,Retail,"Merchandising, Sales, Customer Service",4
Operations geologist,Noble Group,Berlin,Entry Level,73000,Marketing,"Content Writing, Google Ads, Market Research, SEO",2
Politician's assistant,Martin-Taylor,Toronto,Senior Level,128000,Education,Curriculum Design,1
Community education officer,"Soto, Williams and Lynch",Berlin,Entry Level,100000,Retail,"Sales, Merchandising",4
Photographer,Freeman-Carter,Bangalore,Mid Level,40000,Finance,"SQL, Python, Excel, Risk Analysis",5
Advertising copywriter,Ortiz Ltd,Toronto,Mid Level,85000,Healthcare,"Nursing, Pharmaceuticals, Medical Research, Patient Care",4
"Education officer, environmental",Bennett-Gomez,Toronto,Senior Level,75000,Manufacturing,"Supply Chain, Production Planning",5
"Development worker, community",Summers Ltd,Bangalore,Entry Level,122000,Education,EdTech,1
Conference centre manager,"Sullivan, West and Howard",Bangalore,Senior Level,71000,Finance,"Risk Analysis, Financial Modeling, Excel, SQL",5
Commissioning editor,Brown-Ford,Bangalore,Entry Level,78000,Healthcare,"Pharmaceuticals, Nursing",5
"Teacher, special educational needs","Davis, Thornton and Jackson",London,Entry Level,146000,Finance,"Financial Modeling, Python, Risk Analysis",4
Financial controller,"Robinson, Hoffman and Cherry",Toronto,Mid Level,84000,Finance,SQL,2
Claims inspector/assessor,"Carter, Lynn and Burton",London,Mid Level,47000,Software,"Java, Machine Learning, C++, AWS",4
Clinical molecular geneticist,Gomez-Hernandez,San Francisco,Mid Level,72000,Retail,Merchandising,2
Therapeutic radiographer,"Mcgee, Holland and Bennett",London,Mid Level,87000,Healthcare,"Nursing, Medical Research, Pharmaceuticals",2
Environmental consultant,Thomas LLC,New York,Entry Level,46000,Manufacturing,"Supply Chain, Quality Control, Production Planning",4
Health and safety adviser,"Dunn, Nicholson and Booth",London,Senior Level,75000,Education,"EdTech, Research, Curriculum Design",4
"Social research officer, government",Joseph Inc,San Francisco,Mid Level,104000,Manufacturing,Production Planning,3
IT technical support officer,Mccoy-Gonzalez,San Francisco,Senior Level,58000,Marketing,Content Writing,3
Structural engineer,"Cabrera, Russell and Alvarez",London,Mid Level,60000,Manufacturing,"Production Planning, Quality Control, Supply Chain",3
Dietitian,Hoffman LLC,New York,Mid Level,78000,Marketing,"Google Ads, Social Media",3
"Scientist, research (life sciences)","Lawrence, Romero and Rogers",Bangalore,Mid Level,146000,Healthcare,Nursing,5
"Therapist, music","Jimenez, Savage and Lewis",London,Mid Level,65000,Education,EdTech,3
Health and safety inspector,Torres-Peck,Berlin,Mid Level,45000,Finance,"Excel, Financial Modeling, Python",1
Sports administrator,"Barry, Jackson and Romero",Berlin,Mid Level,121000,Manufacturing,"Production Planning, Quality Control, Supply Chain",4
Contractor,"Jimenez, Cummings and Holt",London,Senior Level,134000,Manufacturing,"Quality Control, Supply Chain, Production Planning",5
Public relations account executive,Gonzales and Sons,Sydney,Entry Level,127000,Education,EdTech,5
Visual merchandiser,Smith-Kelley,Berlin,Mid Level,143000,Marketing,"Google Ads, Market Research, Social Media, SEO",5
Health and safety inspector,"Cox, Drake and Payne",Toronto,Senior Level,47000,Software,SQL,4
"Designer, graphic",Cannon-Forbes,San Francisco,Entry Level,88000,Education,"Teaching, Curriculum Design",2
"Engineer, maintenance","Harmon, Sullivan and Davis",Toronto,Mid Level,121000,Manufacturing,"Quality Control, Supply Chain",4
Nature conservation officer,"Bowen, Schwartz and Martin",Berlin,Mid Level,83000,Finance,Risk Analysis,3
Heritage manager,Miller-Simpson,Bangalore,Senior Level,107000,Marketing,Content Writing,1
"Engineer, civil (consulting)",Snyder-Scott,Berlin,Mid Level,88000,Education,"Teaching, Curriculum Design, Research, EdTech",4
Plant breeder/geneticist,"Jones, Gonzalez and Bruce",Sydney,Senior Level,131000,Retail,"Customer Service, Sales, Merchandising",1
Audiological scientist,Bray Inc,London,Senior Level,112000,Finance,"Risk Analysis, Python, Financial Modeling",4
"Research officer, trade union","Jones, Edwards and Pierce",San Francisco,Entry Level,41000,Finance,"Risk Analysis, Financial Modeling",5
"Designer, ceramics/pottery",Weiss and Sons,London,Senior Level,98000,Marketing,"Market Research, Social Media, Google Ads, Content Writing",1
Sports therapist,Rogers Ltd,London,Mid Level,105000,Software,"Java, C++, React, SQL",3
Armed forces logistics/support/administrative officer,Garcia and Sons,Berlin,Mid Level,119000,Education,"Curriculum Design, EdTech, Teaching, Research",3
Science writer,Blackburn-Wright,Berlin,Mid Level,109000,Software,Java,4
Barrister,Ford-Walters,Berlin,Entry Level,93000,Marketing,Market Research,1
Local government officer,Newton-Ponce,London,Senior Level,93000,Manufacturing,Supply Chain,2
Customer service manager,Harper-Cox,Bangalore,Entry Level,48000,Retail,"Sales, Merchandising, Customer Service",4
Sports administrator,"Brown, Hernandez and Braun",New York,Mid Level,52000,Marketing,Market Research,5
Furniture designer,Ferguson LLC,Berlin,Entry Level,97000,Manufacturing,"Production Planning, Quality Control, Supply Chain",2
Manufacturing engineer,Mcbride-Cobb,Sydney,Senior Level,99000,Healthcare,"Patient Care, Nursing, Pharmaceuticals, Medical Research",2
Town planner,Fleming-Bailey,Berlin,Senior Level,83000,Marketing,"Market Research, SEO",3
Geophysicist/field seismologist,Kim-Ramos,New York,Mid Level,96000,Healthcare,"Patient Care, Pharmaceuticals, Medical Research",4
"Producer, television/film/video",Taylor-Hunt,Bangalore,Entry Level,122000,Finance,"Python, Financial Modeling",5
Operational investment banker,Cook Ltd,London,Mid Level,129000,Manufacturing,"Production Planning, Quality Control",5
"Engineer, mining",Johnson-Williamson,Berlin,Senior Level,124000,Marketing,"Content Writing, Social Media",3
Gaffer,Olson Group,Bangalore,Entry Level,137000,Retail,"Sales, Merchandising, Customer Service",5
Orthoptist,Lewis LLC,Bangalore,Mid Level,62000,Education,"Teaching, Research, EdTech, Curriculum Design",2
"Therapist, sports",Lee and Sons,San Francisco,Mid Level,130000,Marketing,Google Ads,2
Housing manager/officer,Robinson PLC,Toronto,Mid Level,96000,Education,"Curriculum Design, EdTech, Research, Teaching",4
Outdoor activities/education manager,Mckinney Ltd,San Francisco,Mid Level,56000,Finance,"Risk Analysis, Python",4
Chartered certified accountant,Dean Inc,Sydney,Entry Level,144000,Software,"Java, Machine Learning",3
"Librarian, public","Martinez, Stark and Hunter",Bangalore,Entry Level,56000,Manufacturing,"Supply Chain, Production Planning",1
Lexicographer,"Anderson, Reynolds and Underwood",Toronto,Entry Level,113000,Finance,"Risk Analysis, Financial Modeling, Excel",3
Counselling psychologist,"Mendoza, Williams and Osborn",San Francisco,Mid Level,111000,Education,EdTech,1
"Designer, textile",Allen-Howard,New York,Mid Level,90000,Software,SQL,2
"Sales professional, IT",Duke-Ellis,Berlin,Senior Level,109000,Retail,"Customer Service, Merchandising, Sales",4
Archaeologist,Wells-Dunn,Berlin,Entry Level,63000,Manufacturing,"Supply Chain, Quality Control, Production Planning",3
Advertising account planner,Wilson Inc,Bangalore,Entry Level,59000,Manufacturing,Quality Control,5
Herpetologist,Coleman-Miller,London,Entry Level,143000,Manufacturing,"Supply Chain, Production Planning, Quality Control",1
Human resources officer,Thomas-Munoz,Bangalore,Entry Level,149000,Manufacturing,"Production Planning, Supply Chain",5
Systems developer,Crawford-Franco,New York,Mid Level,47000,Finance,Excel,3
Therapeutic radiographer,Morton Ltd,Sydney,Mid Level,86000,Manufacturing,"Supply Chain, Quality Control, Production Planning",1
"Surveyor, building",Garcia PLC,London,Mid Level,115000,Education,"Teaching, Curriculum Design",2
"Chemist, analytical","Ford, Boone and Johnson",Toronto,Senior Level,85000,Finance,SQL,5
Psychotherapist,Beasley-Hall,Bangalore,Mid Level,148000,Finance,"Python, Risk Analysis, Financial Modeling, Excel",4
Technical brewer,"Marquez, Solomon and Phillips",Berlin,Mid Level,104000,Healthcare,"Patient Care, Medical Research, Pharmaceuticals, Nursing",5
Telecommunications researcher,"Robbins, Kent and White",Sydney,Entry Level,102000,Finance,"Python, Risk Analysis, Excel",5
"Engineer, broadcasting (operations)",Owens-Adams,London,Senior Level,65000,Manufacturing,Production Planning,5
"Engineer, biomedical",Harris Group,Berlin,Entry Level,40000,Healthcare,"Patient Care, Nursing, Medical Research, Pharmaceuticals",1
Animal technologist,Cochran-Simpson,New York,Entry Level,52000,Education,"Research, Curriculum Design",4
"Engineer, energy","Glenn, Robinson and Summers",New York,Entry Level,123000,Marketing,Google Ads,5
Youth worker,Taylor-Rodriguez,London,Mid Level,133000,Retail,"Sales, Merchandising",3
Health promotion specialist,"Hernandez, Davila and Garcia",New York,Senior Level,137000,Education,"Teaching, Curriculum Design, EdTech",2
Printmaker,Jones-Ford,Sydney,Mid Level,73000,Manufacturing,"Supply Chain, Quality Control",4
Chartered legal executive (England and Wales),Washington Ltd,Berlin,Senior Level,124000,Marketing,"SEO, Google Ads, Market Research, Content Writing",5
"Embryologist, clinical","Friedman, Elliott and Coleman",Bangalore,Senior Level,129000,Healthcare,"Medical Research, Pharmaceuticals, Nursing",2
"Designer, television/film set",Dean-Nguyen,San Francisco,Mid Level,116000,Finance,Excel,3
Office manager,"Tucker, Nicholson and Villanueva",Bangalore,Mid Level,140000,Healthcare,"Nursing, Medical Research, Patient Care",4
"Psychologist, clinical","Combs, Dyer and Williams",San Francisco,Mid Level,82000,Software,"Python, React, Machine Learning, SQL",5
"Education officer, museum",Davis-King,Berlin,Mid Level,134000,Education,"EdTech, Research",3
Systems developer,West-Anderson,Sydney,Mid Level,143000,Finance,Financial Modeling,1
Commissioning editor,Williams-Reed,London,Entry Level,108000,Manufacturing,Production Planning,2
Hydrogeologist,Wright Inc,London,Mid Level,95000,Retail,"Merchandising, Sales",4
Risk manager,"Flores, Nelson and Drake",Toronto,Senior Level,108000,Healthcare,"Pharmaceuticals, Nursing",3
Private music teacher,"Sheppard, Garcia and Osborn",Sydney,Senior Level,145000,Retail,"Customer Service, Sales, Merchandising",4
Media buyer,Carlson-Jimenez,New York,Mid Level,62000,Healthcare,"Medical Research, Patient Care, Nursing",4
"Production assistant, television",Schultz and Sons,Toronto,Mid Level,109000,Manufacturing,"Quality Control, Supply Chain",3
"Loss adjuster, chartered","Meza, Gomez and Ward",London,Senior Level,54000,Finance,"Excel, SQL, Risk Analysis",2
Analytical chemist,Reynolds-Jackson,Berlin,Senior Level,71000,Manufacturing,Quality Control,2
Multimedia programmer,Shelton-Thompson,Sydney,Senior Level,97000,Marketing,"SEO, Content Writing, Social Media",4
Product designer,Castro-Jones,Sydney,Senior Level,97000,Finance,"Financial Modeling, SQL",3
Insurance broker,Richardson-Dyer,Berlin,Entry Level,110000,Software,Java,2
"Programmer, applications",Torres-Crawford,Toronto,Senior Level,121000,Healthcare,"Pharmaceuticals, Medical Research, Nursing, Patient Care",1
Health and safety inspector,Robinson and Sons,Sydney,Mid Level,78000,Manufacturing,"Quality Control, Supply Chain, Production Planning",2
Multimedia programmer,"Lee, Parker and Dunn",Toronto,Entry Level,56000,Healthcare,"Medical Research, Patient Care",5
Herpetologist,Young PLC,Bangalore,Senior Level,83000,Manufacturing,"Quality Control, Production Planning",5
Mudlogger,"Hill, Nelson and Smith",Toronto,Entry Level,112000,Finance,Financial Modeling,5
Comptroller,Moore-Carter,San Francisco,Mid Level,122000,Marketing,"Google Ads, Social Media, SEO",5
Sports therapist,Humphrey Ltd,New York,Senior Level,68000,Healthcare,"Pharmaceuticals, Patient Care, Medical Research, Nursing",4
Health and safety inspector,Pugh Ltd,Sydney,Mid Level,69000,Education,"Research, EdTech",2
